"tanggal","total_penjualan"
"2022-03-31",58437.5
"2022-05-20",200573.89
"2022-06-04",4679.64
"2022-04-21",835189.9
"2022-01-23",4091332.8
"2022-06-15",29202.402
"2022-02-15",35927.098
"2022-06-14",18051.793
"2022-03-08",5780.7
"2022-02-09",23375.0
"2022-05-23",73957.5
"2022-05-16",47902.797
"2022-02-22",56483.0
"2022-06-07",98476.11
"2022-04-25",91842.0
"2022-02-19",58437.5
"2022-04-13",553533.4
"2022-02-28",5849.5503
"2022-03-07",51894.7
"2022-06-10",114802.5
"2022-03-29",131550.23
"2022-03-16",51974.227
"2022-01-27",4508685.0
"2022-01-25",41328.902
"2022-06-03",159626.89
"2022-01-31",4636468.0
"2022-04-20",633783.5
"2022-05-22",89565.1
"2022-04-27",632793.3
"2022-04-24",95852.8
"2022-05-02",488112.38
"2022-01-22",113109.1
"2022-02-18",14615.694
"2022-04-10",28050.0
"2022-03-02",85524.8
"2022-03-17",47525.94
"2022-01-28",3874526.2
"2022-02-05",96768.68
"2022-05-24",115583.19
"2022-04-22",678654.6
"2022-03-01",9350.0
"2022-02-14",36736.8
"2022-05-14",28192.0
"2022-04-16",309408.8
"2022-03-30",14615.694
"2022-04-17",199883.8
"2022-03-13",34802.8
"2022-03-09",34701.5
"2022-06-02",5780.7
"2022-05-25",111057.65
"2022-04-28",539354.6
"2022-02-24",55105.203
"2022-05-26",52208.332
"2022-03-18",72218.33
"2022-04-14",14096.0
"2022-04-30",1694410.8
"2022-03-20",15990.134
"2022-03-26",62764.055
"2022-04-01",146117.33
"2022-02-21",210915.92
"2022-02-13",11276.8
"2022-02-25",39919.0
"2022-06-16",1123108.5
"2022-06-12",196543.81
"2022-04-15",18368.4
"2022-02-04",62764.055
"2022-01-21",96215.4
"2022-04-04",35220.285
"2022-04-05",114802.5
"2022-01-20",12857.41
"2022-04-18",262906.72
"2022-04-02",185361.42
"2022-06-09",35220.285
"2022-05-13",136921.89
"2022-02-10",716270.2
"2022-03-14",11296.6
"2022-05-15",596973.0
"2022-04-08",69403.0
"2022-05-30",2819.2
"2022-05-29",73427.9
"2022-03-03",78306.305
"2022-02-07",902239.0
"2022-04-09",26907.932
"2022-04-07",140131.45
"2022-05-01",1194401.5
"2022-04-11",106906.0
"2022-02-01",2963146.0
"2022-02-16",123153.164
"2022-06-01",35927.098
"2022-02-17",151934.33
"2022-03-19",173507.5
"2022-04-29",39776.94
"2022-03-25",70480.0
"2022-05-03",1166664.4
"2022-06-11",54560.617
"2022-02-20",146117.33
"2022-04-26",213465.9
"2022-03-12",245883.8
"2022-02-08",14038.92
"2022-05-21",492788.22
"2022-04-12",582946.94
"2022-03-10",10529.19
"2022-04-19",1415122.6
"2022-03-06",41328.902
"2022-04-06",54560.617
"2022-05-27",53453.0
"2022-03-27",70974.87
"2022-06-05",4675.0
"2022-05-28",78306.305
"2022-03-28",106174.88
"2022-03-22",716270.2
"2022-03-24",70564.25
"2022-03-15",47926.4
"2022-05-19",171134.19
"2022-04-03",123650.375
"2022-02-26",387306.9
"2022-01-30",2704698.2
"2022-02-03",70480.0
"2022-02-02",70564.25
"2022-02-06",57807.0
"2022-05-31",22960.5
"2022-03-23",134252.4
"2022-03-21",79475.0
"2022-02-11",852668.6
"2022-06-06",181740.19
"2022-05-17",57807.0
"2022-02-27",680149.4
"2022-06-13",465000.1
"2022-03-05",14096.0
"2022-03-04",5648.3
"2022-04-23",254173.48
"2022-02-23",338304.0
"2022-02-12",28241.5
"2022-06-08",67246.37
"2022-05-18",465000.1
"2022-03-11",2337.5
